names,degrees,betweenness,eigenvector
Chatillon,3,0.0,0.11048042043470586
KingJohn,20,0.39263353489543973,0.415529124477519
QueenEleanor,9,0.03236646510456034,0.24690501205813387
Essex,2,0.0,0.07650489060013044
Bastard,16,0.2594293272864701,0.34941357298082104
RobertFaulc,2,0.0,0.0883438911130458
LadyFaulc,1,0.0,0.040354124644980505
Gurney,1,0.0,0.040354124644980505
Arthur,8,0.046119929453262785,0.2301695716642672
KingPhilip,11,0.09991496598639456,0.2941853584467601
Lewis,10,0.08493008314436885,0.2829693654619046
Austria,6,0.000992063492063492,0.2136954489154116
Constance,9,0.014581758629377673,0.26897264446791774
Blanche,4,0.000992063492063492,0.15208791567573554
Citizen,5,0.06252204585537918,0.1533670828545918
FrenchHerald,2,0.006261022927689595,0.03650806760948164
EnglishHerald,2,0.0013227513227513227,0.021928720110873347
Salisbury,10,0.06857205845301084,0.25415735668860473
Pandulph,7,0.0024029982363315697,0.23925832249880905
Hubert,7,0.03845427059712774,0.18258196521037315
Executioner,2,0.0,0.04766916493234274
Pembroke,7,0.031361803980851595,0.1731826729585804
1Messenger,1,0.0,0.04798976646806568
Peter,1,0.0,0.04798976646806568
Bigot,4,0.0,0.1107950845991456
2Messenger,1,0.0,0.04798976646806568
Melun,2,0.0,0.04935424339380899
3Messenger,1,0.0,0.032680278122621344
PrinceHenry,4,0.0,0.1376981345068544
