names,degrees,betweenness,eigenvector
Gaunt,5,0.05630630630630631,0.17412930383643616
KingRichard,16,0.35162305162305163,0.3865927690428731
Bolingbroke,19,0.2632167882167882,0.44489696516298366
Mowbray,3,0.0,0.13293456291572509
DuchessGlouc,1,0.0,0.022547040620750306
Aumerle,13,0.13448090948090946,0.3105827482031678
Marshal,7,0.10833333333333334,0.19515768297677433
2Herald,2,0.0,0.029028750900137547
1Herald,2,0.0,0.029028750900137547
Green,5,0.00972043472043472,0.1777140442681299
Bushy,6,0.011472186472186473,0.21160141317273165
York,10,0.10898040898040898,0.29559814007614604
Queen,8,0.25237737737737737,0.18115193659006587
Northumberland,9,0.06329901329901332,0.2563348125842542
Ross,3,0.0,0.10934392195175999
Willoughby,4,0.001001001001001001,0.14323129085636174
Servingman,1,0.0,0.038275232665184074
Bagot,4,0.0015515515515515514,0.14823263109571527
Percy,3,0.0005505505505505505,0.1310133009653847
Berkeley,2,0.0,0.09079793680755675
Salisbury,3,0.05405405405405406,0.09181253559747733
WelshCaptain,1,0.0,0.011888323484818303
Carlisle,5,0.004804804804804805,0.19704099679014608
Scroop,2,0.0,0.09027316663686816
1Lady,1,0.0,0.02345648888427482
2Lady,1,0.0,0.02345648888427482
Gardener,3,0.1066066066066066,0.024270441803174503
1Man,1,0.0,0.003142743878950773
2Man,1,0.0,0.003142743878950773
Fitzwater,3,0.006156156156156155,0.10478622245525761
Surrey,2,0.0,0.05378340287495748
Abbot,3,0.0,0.12333577191556275
DuchessOfYork,3,0.0,0.13609743546091946
1Servant,1,0.0,0.014424593507245382
Exton,4,0.1066066066066066,0.11140017175423954
2Servant,1,0.0,0.014424593507245382
Groom,2,0.0,0.05750375289938972
Keeper,2,0.0,0.05750375289938972
